Elapsed milliseconds,x,y,rotation
0,0.0,0.0,0.0
17,0.0,0.0,0.0
37,0.0,0.0,0.0
57,0.0,0.0,0.0
77,0.0,0.0,0.0
97,0.0,0.0,0.0
117,0.0,0.0,0.0
137,0.0,0.0,0.0
157,0.0,0.0,0.0
177,0.0,0.0,0.0
197,0.0,0.0,0.0
217,0.0,0.0,0.0
237,0.0,0.0,0.0
258,0.0,0.0,0.0
277,0.0,0.0,0.0
297,0.0,0.0,0.0
317,0.0,0.0,0.0
338,0.0,0.0,0.0
357,0.0,0.0,0.0
378,0.0,0.0,0.0
427,0.0,0.0,0.0
445,0.0,0.0,0.0
445,0.0,0.0,0.0
458,0.0,0.0,0.0
477,0.0,0.0,0.0
497,0.0,0.0,0.0
517,0.0,0.0,0.0
537,0.0,0.0,0.0
557,0.0,0.0,0.0
577,0.0,0.0,0.0
597,0.0,0.0,0.0
617,0.0,0.0,0.0
638,0.0,0.0,0.0
657,0.0,0.0,0.0
677,0.0,0.0,0.0
697,0.0,0.0,0.0
717,0.0,0.0,0.0
744,0.0,0.0,0.0
758,0.0,0.0,0.0
777,0.0,0.0,0.0
