Elapsed milliseconds,x,y,rotation
0,0.0,0.0,0.0
18,0.0,0.0,0.0
38,0.0,0.0,0.0
59,0.0,0.0,0.0
78,0.0,0.0,0.0
98,0.0,0.0,0.0
118,0.0,0.0,0.0
139,0.0,0.0,0.0
158,0.0,0.0,0.0
178,0.0,0.0,0.0
198,0.0,0.0,0.0
219,0.0,0.0,0.0
238,0.0,0.0,0.0
258,0.0,0.0,0.0
278,0.0,0.0,0.0
299,0.0,0.0,0.0
318,0.0,0.0,0.0
338,0.0,0.0,0.0
358,0.0,0.0,0.0
378,0.0,0.0,0.0
398,0.0,0.0,0.0
418,0.0,0.0,0.0
438,0.0,0.0,0.0
459,0.0,0.0,0.0
478,0.0,0.0,0.0
499,0.0,0.0,0.0
518,0.0,0.0,0.0
538,0.0,0.0,0.0
558,0.0,0.0,0.0
578,0.0,0.0,0.0
599,0.0,0.0,0.0
618,0.0,0.0,0.0
638,0.0,0.0,0.0
658,0.0,0.0,0.0
692,0.0,0.0,0.0
698,0.0,0.0,0.0
718,0.0,0.0,0.0
738,0.0,0.0,0.0
758,0.0,0.0,0.0
778,0.0,0.0,0.0
798,0.0,0.0,0.0
818,0.0,0.0,0.0
838,0.0,0.0,0.0
858,0.0,0.0,0.0
878,0.0,0.0,0.0
898,0.0,0.0,0.0
918,0.0,0.0,0.0
938,0.0,0.0,0.0
958,0.0,0.0,0.0
979,0.0,0.0,0.0
998,0.0,0.0,0.0
1019,0.0,0.0,0.0
1038,0.0,0.0,0.0
1059,0.0,0.0,0.0
1078,0.0,0.0,0.0
1098,0.0,0.0,0.0
1118,0.0,0.0,0.0
1138,0.0,0.0,0.0
1163,0.0,0.0,0.0
1178,0.0,0.0,0.0
1198,0.0,0.0,0.0
1218,0.0,0.0,0.0
1238,0.0,0.0,0.0
1258,0.0,0.0,0.0
1278,0.0,0.0,0.0
1299,0.0,0.0,0.0
1318,0.0,0.0,0.0
1339,0.0,0.0,0.0
1358,0.0,0.0,0.0
1378,0.0,0.0,0.0
1398,0.0,0.0,0.0
1418,0.0,0.0,0.0
1438,0.0,0.0,0.0
1459,0.0,0.0,0.0
1478,0.0,0.0,0.0
1498,0.0,0.0,0.0
1518,0.0,0.0,0.0
1538,0.0,0.0,0.0
1558,0.0,0.0,0.0
1578,0.0,0.0,0.0
1599,0.0,0.0,0.0
1618,0.0,0.0,0.0
1638,0.0,0.0,0.0
1658,0.0,0.0,0.0
1679,0.0,0.0,0.0
1709,0.0,0.0,0.0
